# power spectrum of delta
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  4.050367e-01   1.307182e+00   4.844060e-09   6.244187e-02   336
  4.064781e-01   1.226234e+00   2.544134e-04   7.537405e-02   288
  4.073437e-01   1.458040e+00   2.397224e-04   1.019790e-01   264
  4.088096e-01   1.498830e+00   0.000000e+00   1.128692e-01   240
  4.093458e-01   1.261974e+00   8.477105e-09   1.631633e-01   96
  4.112700e-01   1.556678e+00   3.260064e-04   9.106881e-02   360
  4.121680e-01   1.518631e+00   2.403227e-04   1.384000e-01   168
  4.133027e-01   1.301951e+00   2.619767e-04   6.107548e-02   456
  4.146691e-01   1.412736e+00   7.535204e-09   1.352896e-01   108
  4.154376e-01   1.241973e+00   2.628599e-04   7.138138e-02   264
  4.163964e-01   1.230654e+00   2.345138e-04   8.170265e-02   264
  4.177093e-01   1.383414e+00   2.212980e-04   7.797211e-02   312
  4.193442e-01   1.227126e+00   1.644485e-04   7.982075e-02   270
  4.200293e-01   1.517386e+00   2.087881e-04   9.673220e-02   240
  4.212611e-01   1.451162e+00   2.582972e-04   7.972651e-02   384
  4.220089e-01   1.312618e+00   0.000000e+00   8.612207e-02   192
  4.234616e-01   1.405747e+00   2.072491e-04   9.277470e-02   240
  4.243042e-01   1.569440e+00   2.557789e-04   1.065037e-01   336
  4.258889e-01   1.313745e+00   2.574903e-04   5.756759e-02   480
  4.271745e-01   1.910506e+00   0.000000e+00   2.791138e-01   72
  4.278926e-01   1.337747e+00   2.510765e-04   7.922742e-02   240
  4.288693e-01   1.578220e+00   2.359775e-04   9.365858e-02   312
  4.299890e-01   1.405546e+00   2.550351e-04   8.656032e-02   240
  4.316809e-01   1.508142e+00   1.937606e-04   7.688306e-02   408
  4.323507e-01   1.350312e+00   1.774381e-04   8.663869e-02   336
  4.336597e-01   1.540282e+00   2.253026e-04   9.751899e-02   264
  4.343030e-01   1.391168e+00   0.000000e+00   1.189178e-01   144
  4.360928e-01   1.296742e+00   3.122828e-04   6.074858e-02   464
  4.370358e-01   1.753280e+00   2.483289e-04   1.478661e-01   168
  4.379668e-01   1.580745e+00   2.261734e-04   1.000532e-01   336
  4.396494e-01   1.527349e+00   2.376394e-04   8.227512e-02   414
  4.405979e-01   1.565335e+00   2.473686e-04   1.231487e-01   216
  4.418131e-01   2.052466e+00   5.994218e-09   2.113272e-01   96
  4.423093e-01   1.602591e+00   1.798266e-08   7.966421e-02   384
  4.440474e-01   1.613533e+00   2.468906e-04   8.433320e-02   492
  4.449788e-01   1.793332e+00   2.414379e-04   1.173573e-01   240
  4.460316e-01   1.522893e+00   2.451440e-04   8.925891e-02   312
  4.474855e-01   1.137739e+00   2.450633e-04   8.808629e-02   192
  4.484064e-01   1.516648e+00   2.374960e-04   6.886805e-02   504
  4.496283e-01   1.586758e+00   1.572264e-04   8.792458e-02   408
  4.505903e-01   1.520423e+00   4.816826e-04   1.291956e-01   168
  4.517942e-01   1.845351e+00   2.288035e-04   1.319926e-01   288
  4.528044e-01   1.520526e+00   2.387760e-04   8.944062e-02   288
  4.538392e-01   1.272959e+00   2.401504e-04   5.932992e-02   432
  4.553403e-01   1.699048e+00   2.271023e-04   1.463569e-01   216
  4.561423e-01   1.617651e+00   2.266232e-04   9.456300e-02   360
  4.575702e-01   1.686461e+00   2.211821e-04   1.093057e-01   312
  4.588590e-01   2.015064e+00   0.000000e+00   3.221399e-01   48
  4.596018e-01   1.666932e+00   2.371390e-04   8.354414e-02   432
  4.609323e-01   1.640228e+00   3.955503e-04   7.649047e-02   414
  4.617179e-01   1.385512e+00   2.086672e-08   9.117833e-02   312
  4.631837e-01   1.422191e+00   3.470734e-04   6.925383e-02   528
  4.641728e-01   1.501893e+00   1.821841e-04   1.002583e-01   264
  4.653612e-01   1.732001e+00   2.160204e-04   9.082486e-02   480
  4.669139e-01   1.487110e+00   0.000000e+00   9.069356e-02   288
  4.675844e-01   1.468478e+00   2.321072e-04   1.226926e-01   168
  4.688112e-01   1.541714e+00   3.674251e-04   6.958481e-02   504
  4.701905e-01   1.903703e+00   7.992291e-09   1.999239e-01   144
  4.710583e-01   1.480265e+00   2.359750e-04   6.769220e-02   464
  4.723622e-01   1.525332e+00   3.463066e-04   7.727989e-02   432
  4.729810e-01   1.654793e+00   5.994218e-09   1.125903e-01   192
  4.745801e-01   1.404736e+00   2.567288e-04   8.418173e-02   396
  4.755245e-01   1.307489e+00   2.306133e-04   7.053638e-02   288
  4.764789e-01   1.543297e+00   2.278065e-04   9.430042e-02   336
  4.780036e-01   1.493735e+00   1.442516e-04   9.730981e-02   432
  4.789711e-01   1.360878e+00   3.738801e-04   7.995922e-02   360
  4.800575e-01   1.653848e+00   2.211556e-04   8.555549e-02   384
  4.816004e-01   1.486144e+00   1.952123e-04   1.027121e-01   198
  4.823439e-01   1.405309e+00   2.218929e-04   6.261994e-02   552
  4.837301e-01   1.604978e+00   3.106349e-04   8.248043e-02   432
  4.848875e-01   1.715311e+00   0.000000e+00   1.426351e-01   168
  4.858589e-01   1.754359e+00   3.850736e-04   9.493364e-02   480
  4.871439e-01   1.771288e+00   0.000000e+00   1.950715e-01   120
  4.877223e-01   1.708393e+00   3.145115e-04   1.001217e-01   336
  4.891336e-01   1.404449e+00   2.218829e-04   6.062163e-02   672
  4.905292e-01   1.648014e+00   3.227590e-04   6.980354e-02   528
  4.911792e-01   1.639015e+00   9.688120e-09   1.480484e-01   168
  4.926809e-01   1.495890e+00   3.600355e-04   7.952664e-02   456
  4.935972e-01   1.709955e+00   2.198767e-04   1.580492e-01   168
  4.945484e-01   1.713694e+00   2.194819e-04   7.669476e-02   504
  4.961297e-01   1.606828e+00   2.824396e-04   9.235549e-02   336
  4.970859e-01   1.545661e+00   2.036055e-04   9.422910e-02   312
  4.981466e-01   1.704862e+00   1.989364e-04   7.079020e-02   504
  4.995424e-01   1.641209e+00   1.380276e-04   8.070505e-02   432
  5.001986e-01   1.547703e+00   2.132983e-04   1.037908e-01   312
  5.015628e-01   1.484644e+00   2.186412e-04   8.453600e-02   384
  5.029871e-01   2.054783e+00   1.857611e-04   2.220898e-01   126
  5.038665e-01   1.666468e+00   3.261522e-04   8.445617e-02   492
  5.049897e-01   1.809026e+00   2.089008e-04   9.436046e-02   528
  5.063933e-01   1.784366e+00   2.121984e-04   8.478517e-02   480
  5.072636e-01   1.501147e+00   2.931509e-04   7.766789e-02   432
  5.085229e-01   1.633612e+00   2.305243e-04   8.805476e-02   440
  5.099854e-01   1.522428e+00   1.146388e-04   9.354792e-02   312
  5.105343e-01   1.600070e+00   1.717959e-04   8.105660e-02   480
  5.116600e-01   1.663002e+00   3.363730e-04   8.132171e-02   408
  5.133048e-01   1.748226e+00   2.014494e-04   1.143105e-01   360
  5.139997e-01   1.678439e+00   1.943913e-04   9.239747e-02   408
  5.152875e-01   1.656439e+00   1.978178e-04   8.129945e-02   456
  5.167375e-01   1.781507e+00   1.890651e-04   1.081433e-01   264
  5.175423e-01   1.799293e+00   2.051830e-04   1.051346e-01   384
  5.187139e-01   1.514969e+00   3.454401e-04   6.269767e-02   672
  5.200682e-01   1.626327e+00   2.066178e-04   1.091052e-01   240
  5.208498e-01   1.796507e+00   2.096654e-04   1.172412e-01   264
  5.219528e-01   1.612341e+00   2.585876e-04   7.083530e-02   624
  5.235988e-01   1.305315e+00   0.000000e+00   1.072116e-01   150
  5.241848e-01   1.743120e+00   2.897679e-04   7.673780e-02   600
  5.254207e-01   1.692278e+00   1.999903e-04   6.761851e-02   672
  5.268202e-01   1.628091e+00   1.881050e-04   9.446203e-02   336
  5.275998e-01   1.481686e+00   2.046034e-04   7.480501e-02   408
  5.288454e-01   1.810416e+00   2.041215e-04   1.033377e-01   408
  5.302309e-01   1.800625e+00   1.032148e-04   1.091296e-01   360
  5.310849e-01   1.637211e+00   3.789714e-04   8.359962e-02   456
  5.321165e-01   1.860373e+00   2.060870e-04   1.136350e-01   384
  5.334296e-01   1.471102e+00   1.902444e-04   8.410469e-02   348
  5.341391e-01   1.747644e+00   2.345337e-04   7.727214e-02   576
  5.354720e-01   1.627944e+00   1.931077e-04   8.687347e-02   504
  5.368355e-01   1.747275e+00   2.723672e-04   8.226232e-02   432
  5.380257e-01   1.684931e+00   3.705542e-04   8.048428e-02   576
  5.388745e-01   1.588241e+00   0.000000e+00   1.192915e-01   264
  5.402209e-01   1.491352e+00   2.948686e-04   5.851816e-02   768
  5.413919e-01   1.835318e+00   3.969869e-04   1.161794e-01   240
  5.423229e-01   1.605958e+00   3.501048e-04   1.404955e-01   192
  5.436789e-01   1.593920e+00   2.577199e-04   8.325175e-02   504
  5.446846e-01   1.804835e+00   3.472873e-04   9.103134e-02   590
  5.456491e-01   1.797016e+00   3.891164e-04   1.084822e-01   384
  5.468584e-01   1.842709e+00   3.251867e-04   8.841139e-02   504
  5.483186e-01   1.750438e+00   3.129419e-04   7.669200e-02   648
  5.497348e-01   1.590780e+00   8.499089e-05   7.523686e-02   504
  5.503059e-01   1.539739e+00   1.938802e-04   1.021292e-01   312
  5.513141e-01   1.735693e+00   2.793337e-04   7.833026e-02   576
  5.526981e-01   1.706089e+00   1.943899e-04   1.263913e-01   240
  5.535050e-01   1.758621e+00   1.964216e-04   7.315587e-02   552
  5.546470e-01   1.727007e+00   1.844354e-04   7.557618e-02   600
  5.562738e-01   1.785832e+00   2.252732e-04   8.511472e-02   600
  5.572519e-01   1.796861e+00   3.607573e-04   1.090835e-01   312
  5.582259e-01   1.838684e+00   3.141839e-04   8.699932e-02   480
  5.594427e-01   1.679692e+00   1.960206e-04   7.171080e-02   576
  5.605139e-01   1.764551e+00   3.156357e-04   1.042365e-01   408
  5.614645e-01   1.710410e+00   3.682036e-04   1.449929e-01   216
  5.626926e-01   1.698662e+00   2.820025e-04   9.295460e-02   516
  5.640083e-01   1.725577e+00   2.690591e-04   7.042853e-02   744
  5.653657e-01   2.017732e+00   1.797077e-04   9.867015e-02   462
  5.661327e-01   1.781791e+00   1.826469e-04   8.776058e-02   432
  5.673224e-01   1.795529e+00   1.694450e-04   8.135054e-02   648
  5.687212e-01   1.769576e+00   2.479296e-04   8.907602e-02   528
  5.698448e-01   2.048747e+00   2.985691e-04   9.169083e-02   600
  5.709675e-01   2.127877e+00   3.764176e-04   1.805088e-01   240
